,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,。。,0,69,0,6720970439712602067
0,来啦来啦,0,68,0,6721429272386842520
0,蒙恩被挤在角落里挣扎,0,69,1,6723629688221612058
0,不,0,69,0,6724685967258039502
0,哈哈,0,67,0,6727166362104921139
0,快来快来，我的快乐开始了,0,67,0,6727586130088363626
0,腾讯总是这么感人，不守时还加长了时长,4,63,17,6715940265573984556
0,第一,5,61,3,6714501093944135620
0,222222,0,63,18,6714501181679891736
0,来喽来喽,5,62,8,6714501708732933921
0,这一场很有料 ,0,61,9,6714502194491754388
0,来了来了,2,64,10,6714503263225892202
0,3小时持久战？,1,60,24,6714503779104266718
0,这时长 感人,0,60,12,6714503814898492998
0,可以看到晓卉了！,0,61,0,6714504002274830256
0,小蕾你看弹幕,0,61,1,6714504772730727722
0,支持王建国,0,60,9,6714505667325401007
0,李雪琴，加油,0,64,4,6714511060439857200
0,！！！,0,61,0,6714529550338298809
0,每一期都看的津津有味,5,60,8,6714531707623077122
0,3小时综艺牛批,0,62,2,6714656651665227274
0,阿里啦咯啦,0,64,0,6714663789615313675
0,代言人迪丽热巴 :来了来了！！！！,0,62,4,6714708277129835822
0,这个时长，，，李旦牛逼，,0,63,8,6714732726357343222
0,看这排名突然不是很想看了,0,63,7,6714770438737116848
0,"这一期是最后一期了,期待",0,61,1,6714780471634624587
0,为沈叔叔而来！！,0,60,0,6714791685390890700
0,刘琪！,0,64,0,6714857684518242800
0,又是三个小时？？？？？？？？？？？？？？？？,0,63,3,6715169863359461163
0, 快乐,0,61,0,6717438832184596289
0,现在牛奶不喝了 开始喝羊奶了,0,61,0,6717772385572385406
0,222,0,63,0,6719065583880008431
0,为李雪琴、杨笠而来，储殷滚远点，你个糟老头子坏的很,0,60,0,6719433911774456941
0,m,0,64,0,6719613034593460167
0,，,0,64,0,6721449148453944803
0,我,0,64,0,6724126827944059138
0,哈哈哈,0,60,0,6726875119533717715
0,我就看看V7是啥意思,0,64,0,6729704232363159644
