,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,哈哈 就喜欢不守时的腾讯,0,22,3,6714501459460948523
0,没人？？？,0,20,1,6714501747769285443
0,激动~激动,0,22,1,6714502051340469374
0,沈叔叔我来啦,0,23,11,6714502028820249418
0,时长,0,23,0,6714502270513818411
0,提前更新啦，太棒啦,0,24,1,6714502365095337936
0,三个半小时,0,23,3,6714502531629910510
0,时长感人,0,23,2,6714502476282138813
0,第一 1111111111111111111111111111111111111111,0,23,0,6714502611614234948
0,四个小时？,0,21,0,6714502946823356401
0,杨立加油,0,21,0,6714502935197717489
0,111,0,24,0,6714503232183848225
0,三个半小时，牛,0,24,1,6714503285703156367
0,来晚了,0,24,1,6714503500353699755
0,第一？,2,3,35,6714500789123091946
0,这时长  爱了爱了,5,4,91,6714500824984655077
0,不准时太棒了！！,2,0,82,6714501137330326995
0,哇  来了来了,5,0,87,6714501145596985349
0,期待期待,5,0,61,6714501179470452556
0,好早,0,4,11,6714501197966374205
0,还没人，应该是不知道已经更新了,7,2,60,6714501264664179729
0,我太早了？,5,0,22,6714501282993996018
0,又提前了,5,0,8,6714501286612972607
0,来了来了第一,0,4,36,6714501310356927594
0,没人哇哇哇,1,0,3,6714501311481017861
0,第一第一！,5,1,16,6714501382957147362
0,好早呀，喜欢这么早,3,32,20,6714539892032382754
0,还没人发现哈哈,0,32,16,6714500771992859198
0,第一第一！！！！,6,30,58,6714500747066093747
0,哇  这个时长  有点东西啊,3,31,21,6714500892068089474
0,冲鸭,0,30,10,6714500904223446391
0,居然显示没有弹幕！！！,5,33,12,6714500962238795507
0,66666666666,0,30,31,6714501009981846113
0,19:47,0,31,9,6714501104962836176
0,没有弹幕还有谁。哈哈哈,0,31,7,6714501088218215509
0,没人,0,32,4,6714501152337535823
0,提前了10分钟啊。,3,34,15,6714501202148786284
0,就是喜欢不准时的节奏,0,32,9,6714501195827970144
0,热乎的,0,31,0,6714501298826785881
0,我第二？,0,31,0,6714501393929142701
0,来来来,0,32,3,6714501377395196298
0,哈哈哈,0,31,0,6714501372390700657
0,谁是冠军,0,31,0,6714501574451987195
0,路过,0,33,3,6714501620182794537
0,第三,0,32,0,6714501630726256306
0,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊为了脱口秀会冲VIP,0,33,9,6714501628613034837
0,来了！！等了两天！,0,33,1,6714501793264936914
0,来了啊啊啊啊啊啊 沈叔叔,0,34,11,6714501868673316974
0,不准时，喜欢,0,34,0,6714501884544218133
0,终于等到你,0,30,13,6714501964546372754
0,李雪琴加油！,0,33,3,6714502183372958372
0,1,0,33,0,6714502337274519460
0,雪琴加油,0,30,9,6714502319574599290
0,来啦来啦,0,30,2,6714502411878336788
0,来了来了,0,34,1,6714502317011879544
0,三个半小时？,0,31,3,6714502500767530625
0,社会北，我来了,0,33,1,6714502525262266031
0,爱腾哥,0,32,0,6714502624391401907
0,冠军之战，我来了,0,32,0,6714502641926470001
0,19点57,0,34,0,6714503054165003217
0,我看了一周的预告片,0,34,0,6714503074410897650
0,腾哥,0,34,0,6714503240290074090
0,八点,0,33,0,6714503231947603417
0,太棒了,0,30,1,6714503195155526523
0,[鸡腿]加油,0,34,1,6714503480687657050
0,哇 三个多小时  吼吼[厉害],0,30,2,6714503473834479336
0,111111,1,57,9,6714501151644122846
0,我爱庞博,3,55,7,6714501220745622476
0,期待雪国列车列车,5,58,33,6714501445993353209
0,7点52,0,55,2,6714501628097439384
0,快来快来，我的快乐开始了,3,56,47,6714502136135711760
0,来啦来啦,1,59,7,6714502199570003549
0,可以投屏吗,0,56,4,6714502847527058157
0,李雪琴，加油,0,58,3,6714504032624814040
0,第一！,0,56,4,6714504264452392119
0,这个时长可以的啊,0,56,4,6714504337441670482
0,第一第一,0,55,4,6714504944550398396
0,V7大佬来了，快欢迎,0,57,9,6714504011246453456
0,如果能请郭德纲来，李诞就牛掰了,0,56,7,6714506239445280611
0,沈腾不错,0,57,3,6714507870857265323
0,这时长可以！,0,59,6,6714509508828396622
0,一期不落的追到这里🎤,4,56,4,6714513284433161695
0,这时长爱了爱了,0,58,1,6714513970972603241
0,又三个小时=-=,0,59,5,6714514703385818212
0,良心综艺,0,58,1,6714515926542653286
0,三个半小时？哈哈哈,0,59,1,6714521730287857727
0,广智死的太冤了,0,57,0,6714523532678120172
0,三个半小时，我现在是凌晨十二点，这…[不行][不行][不行],0,55,4,6714566607056082006
0,收官了舍不得,5,58,0,6714569151765484990
0,欣赏不动王冕的表演，没有内容,0,55,0,6714683266789738965
0,时长感人,0,59,0,6714700207881391505
0,王勉冠军我不服！！！,0,55,1,6714702883335939906
0,结束后不知道看啥号了,0,57,3,6714750206731647985
0,中午了 看看,0,57,1,6714756440110078158
0,三小时二十六分钟6666666666666[白眼][白眼][白眼][白眼],0,59,1,6714787276649906247
0,沈老师,0,57,0,6714791151678983596
0,王冕冠军,0,56,0,6714865536002619804
0,哈哈哈哈哈,0,55,0,6715066853758582841
0,我,0,55,0,6715146808009928436
0,俩了[白眼],0,57,0,6715221673949775014
0,啊,0,56,1,6715948287847285394
0,没人吗,0,59,0,6715932994281439214
0,。,0,58,0,6716933143246605210
0,呀,0,58,0,6718154045384756156
0,，,0,58,0,6718173051280882876
0,（（（）））,0,59,1,6718191214682163898
0,来了,3,42,2,6714500932081749705
0,我来承包空屏!,0,42,11,6714501104467955101
0,来了亲人们！！,3,44,3,6714501164160974883
0,更新了更新了,2,40,4,6714501145744054040
0,来了来了,3,43,1,6714501155034484209
0,只看到4条弹幕,0,44,9,6714501354246141522
0,哈哈哈哈哈,0,44,2,6714501361750757214
0,申要红，爱你爱你，我的宝贝[厉害],0,43,7,6714501483905656211
0,哦了,0,40,3,6714501429668807163
0,过年了,0,44,3,6714501689656227636
0,elsa，Do You Wanna Build a Snowman？,0,43,3,6714501718895428608
0,[鸡腿]哎哟提前咯,0,40,7,6714501800105853568
0,[6周年][喜欢]赞,6,42,6,6714501849299481550
0,看这个时长，过瘾,0,40,5,6714501941935932847
0,支持老人，大家都加油,0,42,1,6714501896922972992
0,我是来看结婚证的，你就从了吧,2,41,21,6714502071946066447
0,我的快乐,0,42,0,6714502392327632832
0,爱你雪琴爱👄,0,43,1,6714502441799448618
0,预告点进来是正片，爱了爱了,0,41,14,6714502795073437421
0,哈哈哈,0,40,4,6714503306656546399
0,谁是冠军,0,42,0,6714503204237200626
0,来看老罗和李诞互动,2,41,1,6714503316110865493
0,这么快就最后一期了,0,43,0,6714503418888090917
0,三个半小时，爱了爱了,0,41,0,6714503641169064094
0,来了 老弟,0,41,3,6714503604489875541
0,第一次看直播,0,42,0,6714503751409009220
0, 第一,0,44,0,6714503861974349462
0,VIP来了,0,44,0,6714503975527449588
0,最后三小时狂欢开始了孩子们,0,44,3,6714504115353273238
0,雪国合体漫才就好了,0,44,0,6714504078997003268
0,为啥今年没有好综艺,0,41,0,6714504234127531271
0,预测呼兰夺冠,0,43,0,6714504543594542880
0,广智可惜了,0,43,3,6714504871035813313
0,YMJ三个半小时下班了吗[加油],0,40,1,6714505406015803040
0,李雪琴加油！,0,41,0,6714505465531923910
0,这么多人呢,0,41,0,6714503961987545313
0,20.08,0,43,1,6714505661707910971
0,怎么才3个半小时，原版不是录了6个小时吗,0,42,0,6714506496676394323
